productId,title,description,category,modifiers,keywords,releaseDate
"P1001","Solid Denim Tank Top","With influences of tank top combining solid performance and denim. Perfect for daily wear.","tank top","solid, denim","loose, white, tank top","2024-08-05"
"P1002","Sleeveless Plaid Trench Coat","For fans of trench coat combining sleeveless mobility and plaid. Perfect for urban living.","trench coat","sleeveless, plaid","white, winter, trench coat","2023-09-03"
"P1003","Wool Printed Sandals","Meticulously crafted sandals combining wool structure and printed. Perfect for timeless appeal.","sandals","wool, printed","wool, olive, sandals","2023-11-22"
"P1004","Fitted Women Romper","Inspired by romper combining fitted performance and women. Perfect for refined taste.","romper","fitted, women","sleeveless, striped, romper","2023-02-10"
"P1005","Loose Floral Sneakers","Made to celebrate sneakers combining loose refinement and floral. Perfect for effortless cool.","sneakers","loose, floral","pumps, striped, sneakers","2024-04-28"
"P1006","Trendy Winter Jumpsuit","Developed for jumpsuit combining trendy form and winter. Perfect for timeless trends.","jumpsuit","trendy, winter","sea shell, spring, jumpsuit","2023-05-14"
"P1007","Striped Cotton Pants","A modern pants combining striped texture and cotton. Perfect for daily wear.","pants","striped, cotton","linen, leather, pants","2022-06-24"
"P1008","Cotton Slim Fit Skirt","Designed around skirt combining cotton style and slim fit. Perfect for weekend escapes.","skirt","cotton, slim fit","striped, spring, skirt","2024-08-21"
"P1009","Cropped Fitted Parka","Elevated by parka combining cropped refinement and fitted. Perfect for classic vibes.","parka","cropped, fitted","fitted, organic, parka","2023-08-15"
"P1010","Longline Men Sneakers","Shaped by sneakers combining longline edge and men. Perfect for weekend escapes.","sneakers","longline, men","new, oversized, sneakers","2024-10-18"
"P1011","New Spring Sandals","Defined by sandals combining new softness and spring. Perfect for urban living.","sandals","new, spring","denim jacket, linen, sandals","2024-09-23"
"P1012","Denim Linen Pants","A comfortable pants combining denim structure and linen. Perfect for weekend escapes.","pants","denim, linen","men, printed, pants","2023-08-11"
"P1013","Tall Tall Flats","Boldly combining flats combining tall style and tall. Perfect for timeless appeal.","flats","tall, tall","navy, floral, flats","2024-05-23"
"P1014","Wool Leather Blouse","Curated to match blouse combining wool refinement and leather. Perfect for modern flair.","blouse","wool, leather","solid, summer, blouse","2024-11-12"
"P1015","Cotton Fitted Tank Top","Engineered for tank top combining cotton softness and fitted. Perfect for refined taste.","tank top","cotton, fitted","spring, unisex, tank top","2024-12-20"
"P1016","Striped Linen Shirt","Made to celebrate shirt combining striped warmth and linen. Perfect for seasonal comfort.","shirt","striped, linen","summer, denim jacket, shirt","2024-11-03"
"P1017","Floral Slim Fit Blouse","Intended for blouse combining floral durability and slim fit. Perfect for city exploration.","blouse","floral, slim fit","petite, tall, blouse","2022-10-09"
"P1018","Black Slim Fit Parka","Inspired by parka combining black influence and slim fit. Perfect for casual chic.","parka","black, slim fit","floral, navy, parka","2023-04-27"
"P1019","Vintage Cropped Shorts","Defined by shorts combining vintage flair and cropped. Perfect for functional design.","shorts","vintage, cropped","longline, cotton, shorts","2023-02-22"
"P1020","Winter Black Crop Top","Shaped by crop top combining winter softness and black. Perfect for timeless trends.","crop top","winter, black","plaid, summer, crop top","2022-07-26"
"P1021","Leather Cropped Boots","Experience unmatched boots combining leather edge and cropped. Perfect for effortless cool.","boots","leather, cropped","plus size, olive, boots","2024-10-15"
"P1022","Denim Beige Sandals","Meticulously crafted sandals combining denim influence and beige. Perfect for functional design.","sandals","denim, beige","high-waisted, wool, sandals","2023-02-07"
"P1023","Oversized Fall Blouse","Intended for blouse combining oversized adaptability and fall. Perfect for life on the move.","blouse","oversized, fall","beige, winter, blouse","2022-06-09"
"P1024","Oversized Printed Parka","Experience unmatched parka combining oversized durability and printed. Perfect for life on the move.","parka","oversized, printed","petite, sleeveless, parka","2025-01-23"
"P1025","Printed Loose Sandals","Refined with sandals combining printed comfort and loose. Perfect for comfort-first fashion.","sandals","printed, loose","minimalist, cotton, sandals","2024-06-01"
"P1026","Olive Slim Fit Jumpsuit","Rooted in jumpsuit combining olive edge and slim fit. Perfect for timeless trends.","jumpsuit","olive, slim fit","fitted, low-rise, jumpsuit","2023-12-27"
"P1027","Petite Organic Cardigan","A modern cardigan combining petite quality and organic. Perfect for effortless cool.","cardigan","petite, organic","petite, fungi, cardigan","2022-07-03"
"P1028","Floral White Blouse","Embracing blouse combining floral performance and white. Perfect for casual chic.","blouse","floral, white","cardigan, stockings, blouse","2023-04-06"
"P1029","Fitted White Dress","Engineered for dress combining fitted versatility and white. Perfect for weekend escapes.","dress","fitted, white","beige, men, dress","2024-08-04"
"P1030","Striped Organic Cardigan","An essential cardigan combining striped edge and organic. Perfect for long-lasting elegance.","cardigan","striped, organic","slim fit, black, cardigan","2022-12-05"
"P1031","Fall Leather Sandals","A stylish sandals combining fall quality and leather. Perfect for seasonal comfort.","sandals","fall, leather","leather, linen, sandals","2022-06-16"
"P1032","Fall Spring Heels","Boldly combining heels combining fall performance and spring. Perfect for weekend escapes.","heels","fall, spring","boots, longline, heels","2022-10-25"
"P1033","High-waisted Petite Leggings","Inspired by leggings combining high-waisted versatility and petite. Perfect for classic vibes.","leggings","high-waisted, petite","petite, leather, leggings","2023-01-21"
"P1034","Striped Low-rise Tank Top","An essential tank top combining striped adaptability and low-rise. Perfect for effortless cool.","tank top","striped, low-rise","loose, white, tank top","2024-04-21"
"P1035","Cropped Mid-rise Coat","An essential coat combining cropped form and mid-rise. Perfect for modern flair.","coat","cropped, mid-rise","plus size, cropped, coat","2023-11-01"
"P1036","Women Denim Flats","Designed around flats combining women motion and denim. Perfect for cool sophistication.","flats","women, denim","unisex, loose, flats","2022-10-21"
"P1037","New Sleeveless Blouse","Refined with blouse combining new quality and sleeveless. Perfect for weekend escapes.","blouse","new, sleeveless","linen, plaid, blouse","2022-09-11"
"P1038","High-waisted Petite Pants","A modern pants combining high-waisted warmth and petite. Perfect for comfort-first fashion.","pants","high-waisted, petite","printed, plaid, pants","2024-06-01"
"P1039","Minimalist Low-rise Pants","Intended for pants combining minimalist flair and low-rise. Perfect for classic vibes.","pants","minimalist, low-rise","minimalist, wool, pants","2025-04-21"
"P1040","Fitted Plus Size Sandals","Designed around sandals combining fitted style and plus size. Perfect for casual chic.","sandals","fitted, plus size","summer, minimalist, sandals","2023-12-24"
"P1041","Leather New Trench Coat","Experience unmatched trench coat combining leather performance and new. Perfect for urban living.","trench coat","leather, new","longline, low-rise, trench coat","2024-01-17"
"P1042","Solid Women Trench Coat","Designed for trench coat combining solid motion and women. Perfect for cool sophistication.","trench coat","solid, women","spring, beige, trench coat","2023-10-22"
"P1043","Vintage Plaid Slides","Inspired by slides combining vintage flair and plaid. Perfect for classic vibes.","slides","vintage, plaid","striped, men, slides","2025-04-02"
"P1044","Leather High-waisted Blouse","Rooted in blouse combining leather form and high-waisted. Perfect for casual chic.","blouse","leather, high-waisted","navy, black, blouse","2023-11-04"
"P1045","Wool Low-rise Boots","Crafted around boots combining wool texture and low-rise. Perfect for long-lasting elegance.","boots","wool, low-rise","low-rise, fall, boots","2024-04-22"
"P1046","Plaid Mid-rise Sneakers","A stylish sneakers combining plaid adaptability and mid-rise. Perfect for modern flair.","sneakers","plaid, mid-rise","high-waisted, olive, sneakers","2024-10-31"
